route,tuyen1.csv,-1583.3123,77.2693,3.5465,133.1469,0.00,VEHICLE,0,0,
-1583.3123,77.2693,3.5465,133.1469,0.00,VEHICLE,0,0,
-1584.8297,75.8471,3.5498,133.1467,0.00,VEHICLE,0,0,
-1586.3894,74.4322,3.5496,132.5274,0.00,VEHICLE,0,0,
-1588.1051,73.0758,3.5487,129.7593,0.00,VEHICLE,0,0,
-1589.9672,71.5530,3.5487,129.5146,0.00,VEHICLE,0,0,
-1591.9133,70.1274,3.5486,127.0015,0.00,VEHICLE,0,0,
-1593.8561,68.9673,3.5522,122.4871,0.00,VEHICLE,0,0,
-1595.9514,67.6922,3.5586,121.6313,0.00,VEHICLE,0,0,
-1598.1113,66.3774,3.5507,121.5208,0.00,VEHICLE,0,0,
-1600.2490,65.0883,3.5522,121.5384,0.00,VEHICLE,0,0,
-1602.3445,63.6207,3.5571,124.5614,0.00,VEHICLE,0,0,
-1604.4014,61.7345,3.5477,131.3242,0.00,VEHICLE,0,0,
-1606.2275,59.9999,3.5468,132.8319,0.00,VEHICLE,0,0,
-1608.3441,57.9804,3.5473,133.0187,0.00,VEHICLE,0,0,
-1610.4060,56.0391,3.5456,133.0387,0.00,VEHICLE,0,0,
-1612.1591,54.4649,3.5462,132.4612,0.00,VEHICLE,0,0,
-1613.8914,53.1569,3.5471,128.8584,0.00,VEHICLE,0,0,
-1615.9805,51.6208,3.5473,126.8098,0.00,VEHICLE,0,0,
-1617.8643,50.2437,3.5474,126.4911,0.00,VEHICLE,0,0,
-1620.0243,48.6613,3.5475,126.4277,0.00,VEHICLE,0,0,
-1622.1212,47.0194,3.5468,127.8333,0.00,VEHICLE,0,0,
-1623.9387,45.5127,3.5459,129.3385,0.00,VEHICLE,0,0,
-1625.5070,44.2047,3.5462,129.6418,0.00,VEHICLE,0,0,
-1627.5276,42.5139,3.5470,129.7229,0.00,VEHICLE,0,0,
-1629.2271,41.0927,3.5474,129.7345,0.00,VEHICLE,0,0,
-1630.9791,39.6305,3.5475,129.7378,0.00,VEHICLE,0,0,
-1632.5659,38.2988,3.5471,129.8661,0.00,VEHICLE,0,0,
-1634.1604,36.8828,3.5462,131.0793,0.00,VEHICLE,0,0,
-1636.1041,35.1412,3.5453,131.9007,0.00,VEHICLE,0,0,
-1637.9767,33.4516,3.5458,132.0456,0.00,VEHICLE,0,0,
-1639.5632,32.0166,3.5466,132.0690,0.00,VEHICLE,0,0,
-1641.3953,30.3582,3.5472,132.0742,0.00,VEHICLE,0,0,
-1643.2305,28.6975,3.5475,132.0749,0.00,VEHICLE,0,0,
-1645.0680,27.0432,3.5470,131.9924,0.00,VEHICLE,0,0,
-1647.6078,24.7738,3.5456,131.7814,0.00,VEHICLE,0,0,
-1649.3048,23.2606,3.5451,131.7531,0.00,VEHICLE,0,0,
-1651.0120,21.7390,3.5449,131.7467,0.00,VEHICLE,0,0,
-1652.8623,20.0897,3.5454,131.7458,0.00,VEHICLE,0,0,
-1654.7279,18.4696,3.5467,131.2553,0.00,VEHICLE,0,0,
-1657.2455,16.4728,3.5473,128.6031,0.00,VEHICLE,0,0,
-1659.2190,14.9331,3.5461,127.8470,0.00,VEHICLE,0,0,
-1661.4176,13.2406,3.5452,127.6920,0.00,VEHICLE,0,0,
-1663.3571,11.7509,3.5450,127.6753,0.00,VEHICLE,0,0,
-1665.4873,10.1051,3.5460,127.7553,0.00,VEHICLE,0,0,
-1667.3138,8.5281,3.5468,130.0001,0.00,VEHICLE,0,0,
-1669.0560,6.9372,3.5459,132.0903,0.00,VEHICLE,0,0,
-1670.7084,5.4010,3.5453,132.7004,0.00,VEHICLE,0,0,
-1672.3690,3.8461,3.5451,132.8433,0.00,VEHICLE,0,0,
-1674.0280,2.2927,3.5455,132.8701,0.00,VEHICLE,0,0,
-1676.1429,0.3185,3.5466,132.8782,0.00,VEHICLE,0,0,
-1677.7931,-1.1671,3.5472,132.3177,0.00,VEHICLE,0,0,
-1679.7565,-2.7136,3.5473,129.1525,0.00,VEHICLE,0,0,
-1682.0095,-4.3524,3.5467,126.2478,0.00,VEHICLE,0,0,
-1684.2466,-5.9290,3.5561,125.5187,0.00,VEHICLE,0,0,
-1686.3134,-7.3732,3.5554,125.3853,0.00,VEHICLE,0,0,
-1688.6287,-8.9800,3.5515,125.1501,0.00,VEHICLE,0,0,
-1690.9458,-10.4618,3.5477,123.0266,0.00,VEHICLE,0,0,
-1693.2106,-11.8837,3.5468,122.0803,0.00,VEHICLE,0,0,
-1695.4277,-13.2658,3.5459,121.8694,0.00,VEHICLE,0,0,
-1697.6027,-14.6165,3.5452,121.8232,0.00,VEHICLE,0,0,
-1699.5111,-15.7988,3.5448,121.8147,0.00,VEHICLE,0,0,
-1702.2069,-17.5271,3.5447,122.6922,0.00,VEHICLE,0,0,
-1704.2767,-18.8835,3.5447,123.2099,0.00,VEHICLE,0,0,
-1706.5433,-20.3756,3.5451,123.3295,0.00,VEHICLE,0,0,
-1708.2617,-21.5091,3.5461,123.3466,0.00,VEHICLE,0,0,
-1710.5995,-23.0517,3.5470,123.3509,0.00,VEHICLE,0,0,
-1712.7749,-24.4859,3.5468,123.3513,0.00,VEHICLE,0,0,
-1714.4843,-25.6120,3.5460,123.3513,0.00,VEHICLE,0,0,
-1716.6407,-27.0310,3.5453,123.3521,0.00,VEHICLE,0,0,
-1718.4493,-28.2245,3.5458,123.3955,0.00,VEHICLE,0,0,
-1720.5615,-29.6550,3.5468,123.9644,0.00,VEHICLE,0,0,
-1722.7208,-31.1177,3.5516,124.1605,0.00,VEHICLE,0,0,
-1724.8248,-32.5467,3.5541,124.2044,0.00,VEHICLE,0,0,
-1726.7472,-33.8554,3.5542,124.2128,0.00,VEHICLE,0,0,
-1729.0752,-35.5107,3.5589,125.1507,0.00,VEHICLE,0,0,
-1731.1349,-37.2241,3.5510,128.9973,0.00,VEHICLE,0,0,
-1732.9851,-38.8333,3.5473,130.7199,0.00,VEHICLE,0,0,
-1734.8099,-40.4418,3.5464,131.1504,0.00,VEHICLE,0,0,
-1736.6302,-42.0533,3.5458,131.2495,0.00,VEHICLE,0,0,
-1738.3505,-43.6128,3.5453,131.7444,0.00,VEHICLE,0,0,
-1739.9769,-45.2638,3.5451,134.3427,0.00,VEHICLE,0,0,
-1741.5072,-47.1504,3.5453,139.5345,0.00,VEHICLE,0,0,
-1742.6310,-48.8697,3.5450,144.7832,0.00,VEHICLE,0,0,
-1743.7562,-51.0839,3.5442,151.6030,0.00,VEHICLE,0,0,
-1744.6814,-53.7028,3.5434,159.7454,0.00,VEHICLE,0,0,
-1745.1710,-56.1870,3.5428,167.5288,0.00,VEHICLE,0,0,
-1745.2965,-58.7400,3.5424,175.8015,0.00,VEHICLE,0,0,
-1745.1063,-61.1477,3.5427,183.1659,0.00,VEHICLE,0,0,
-1744.7941,-63.7172,3.5442,186.8458,0.00,VEHICLE,0,0,
-1744.4392,-66.1450,3.5457,187.6555,0.00,VEHICLE,0,0,
-1744.1077,-68.3961,3.5462,187.7933,0.00,VEHICLE,0,0,
-1743.7417,-70.9449,3.5457,187.8293,0.00,VEHICLE,0,0,
-1743.4091,-73.3367,3.5452,187.8438,0.00,VEHICLE,0,0,
-1743.0658,-75.8598,3.5458,187.8541,0.00,VEHICLE,0,0,
-1742.7219,-78.5102,3.5464,187.6470,0.00,VEHICLE,0,0,
-1742.5125,-81.3161,3.5467,184.9211,0.00,VEHICLE,0,0,
-1742.5421,-84.1616,3.5463,180.0954,0.00,VEHICLE,0,0,
-1742.6802,-86.7451,3.5456,177.3304,0.00,VEHICLE,0,0,
-1742.8425,-89.2306,3.5452,176.5912,0.00,VEHICLE,0,0,
-1743.0140,-91.7175,3.5451,176.4220,0.00,VEHICLE,0,0,
-1743.2281,-94.5387,3.5453,176.0468,0.00,VEHICLE,0,0,
-1743.5642,-96.9680,3.5458,173.1715,0.00,VEHICLE,0,0,
-1744.0945,-99.3475,3.5460,168.5846,0.00,VEHICLE,0,0,
-1744.7598,-101.7805,3.5454,165.1876,0.00,VEHICLE,0,0,
-1745.5105,-104.3694,3.5451,164.1193,0.00,VEHICLE,0,0,
-1746.4255,-107.0071,3.5449,161.6586,0.00,VEHICLE,0,0,
-1747.8866,-110.0073,3.5441,154.5540,0.00,VEHICLE,0,0,
-1749.1827,-111.9206,3.5430,148.0148,0.00,VEHICLE,0,0,
-1750.7488,-113.6596,3.5418,140.1686,0.00,VEHICLE,0,0,
-1752.4897,-115.0952,3.5411,131.7902,0.00,VEHICLE,0,0,
-1754.4401,-116.2452,3.5420,122.9160,0.00,VEHICLE,0,0,
-1756.6545,-117.0901,3.5498,113.1691,0.00,VEHICLE,0,0,
-1759.4077,-117.5664,3.5591,101.2699,0.00,VEHICLE,0,0,
-1761.5856,-117.5002,3.5665,91.4089,0.00,VEHICLE,0,0,
-1764.2555,-116.8975,3.5770,78.9653,0.00,VEHICLE,0,0,
-1767.2881,-116.0254,3.5923,73.7902,0.00,VEHICLE,0,0,
-1769.7910,-115.3513,3.6047,75.1372,0.00,VEHICLE,0,0,
-1772.7213,-114.9323,3.6670,81.4377,0.00,VEHICLE,0,0,
-1775.2283,-114.9791,3.7744,89.3504,0.00,VEHICLE,0,0,
-1777.4052,-115.1580,4.0043,93.8964,0.00,VEHICLE,0,0,
-1779.6086,-115.3912,4.2760,95.1658,0.00,VEHICLE,0,0,
-1782.4972,-115.8654,4.7097,98.1601,0.00,VEHICLE,0,0,
-1784.6578,-116.4813,5.0178,103.6778,0.00,VEHICLE,0,0,
-1786.7334,-117.1810,5.2614,107.5428,0.00,VEHICLE,0,0,
-1789.5635,-118.2089,5.4740,109.8195,0.00,VEHICLE,0,0,
-1792.2928,-119.4061,5.5317,113.3882,0.00,VEHICLE,0,0,
-1795.0765,-120.9695,5.5027,119.2957,0.00,VEHICLE,0,0,
-1796.9694,-122.3575,5.4931,124.8826,0.00,VEHICLE,0,0,
-1798.6743,-123.9464,5.4898,131.2650,0.00,VEHICLE,0,0,
-1800.1504,-125.7193,5.5015,138.3021,0.00,VEHICLE,0,0,
-1801.4182,-127.7895,5.5631,146.7362,0.00,VEHICLE,0,0,
-1802.3258,-130.0451,5.6719,156.1291,0.00,VEHICLE,0,0,
-1802.8074,-132.2345,5.7932,165.1156,0.00,VEHICLE,0,0,
-1802.9215,-134.6300,5.9226,175.5133,0.00,VEHICLE,0,0,
-1802.8191,-136.9884,6.0479,183.5986,0.00,VEHICLE,0,0,
-1802.5074,-139.8495,6.2000,187.8732,0.00,VEHICLE,0,0,
-1802.1346,-142.2658,6.3273,188.3091,0.00,VEHICLE,0,0,
-1801.7628,-144.7061,6.4555,188.3543,0.00,VEHICLE,0,0,
-1801.3804,-147.2312,6.6834,188.4115,0.00,VEHICLE,0,0,
-1801.0165,-149.6771,6.9698,188.4627,0.00,VEHICLE,0,0,
-1800.6331,-152.2659,7.3386,188.4682,0.00,VEHICLE,0,0,
-1800.3351,-155.0842,7.7290,186.4390,0.00,VEHICLE,0,0,
-1800.2844,-157.3409,8.0359,182.5457,0.00,VEHICLE,0,0,
-1800.3008,-159.8713,8.3784,180.0295,0.00,VEHICLE,0,0,
-1800.3379,-162.4522,8.7277,179.4628,0.00,VEHICLE,0,0,
-1800.3821,-165.0512,9.0846,179.3527,0.00,VEHICLE,0,0,
-1800.4250,-167.7115,9.5186,179.3262,0.00,VEHICLE,0,0,
-1800.4585,-170.0728,9.9402,179.3173,0.00,VEHICLE,0,0,
-1800.4917,-172.7734,10.4571,179.3120,0.00,VEHICLE,0,0,
-1800.5289,-175.4543,10.9630,179.1889,0.00,VEHICLE,0,0,
-1800.6156,-178.0132,11.4423,178.2179,0.00,VEHICLE,0,0,
-1800.7078,-180.5666,11.9194,177.9041,0.00,VEHICLE,0,0,
-1800.8024,-183.0539,12.3839,177.8342,0.00,VEHICLE,0,0,
-1800.8983,-185.5022,12.8345,177.8202,0.00,VEHICLE,0,0,
-1801.0021,-188.1387,13.2859,177.8242,0.00,VEHICLE,0,0,
-1801.0780,-190.7783,13.7120,178.2635,0.00,VEHICLE,0,0,
-1801.0078,-193.2804,14.1064,180.9774,0.00,VEHICLE,0,0,
-1800.8882,-195.6765,14.4875,182.5836,0.00,VEHICLE,0,0,
-1800.7495,-198.1608,14.8846,183.0043,0.00,VEHICLE,0,0,
-1800.6105,-200.5590,15.2687,183.0940,0.00,VEHICLE,0,0,
-1800.4717,-202.9554,15.6525,183.1149,0.00,VEHICLE,0,0,
-1800.3505,-205.1416,15.9965,183.0722,0.00,VEHICLE,0,0,
-1800.3053,-207.1768,16.2600,181.9043,0.00,VEHICLE,0,0,
-1800.3306,-209.6225,16.5424,179.8734,0.00,VEHICLE,0,0,
-1800.3711,-211.9571,16.7689,179.2285,0.00,VEHICLE,0,0,
-1800.4230,-214.5165,17.0224,179.0687,0.00,VEHICLE,0,0,
-1800.4734,-216.9593,17.2695,179.0375,0.00,VEHICLE,0,0,
-1800.5198,-219.3333,17.5110,179.0304,0.00,VEHICLE,0,0,
-1800.5625,-221.6985,17.7520,179.0272,0.00,VEHICLE,0,0,
-1800.6019,-224.0410,17.9908,179.0243,0.00,VEHICLE,0,0,
-1800.6404,-226.4241,18.1871,179.0237,0.00,VEHICLE,0,0,
-1800.6818,-229.0245,18.2795,179.0278,0.00,VEHICLE,0,0,
-1800.7200,-231.4570,18.2678,179.0307,0.00,VEHICLE,0,0,
-1800.7587,-233.8481,18.2357,179.0308,0.00,VEHICLE,0,0,
-1800.7994,-236.2944,18.2234,179.0312,0.00,VEHICLE,0,0,
-1800.8434,-238.8806,18.2201,179.0319,0.00,VEHICLE,0,0,
-1800.8850,-241.3075,18.2193,179.0326,0.00,VEHICLE,0,0,
-1800.9281,-243.8273,18.2191,179.0330,0.00,VEHICLE,0,0,
-1800.9712,-246.3410,18.2817,179.0300,0.00,VEHICLE,0,0,
-1801.0146,-248.8559,18.4332,179.0247,0.00,VEHICLE,0,0,
-1801.0580,-251.3764,18.6851,179.0236,0.00,VEHICLE,0,0,
-1801.1047,-254.0960,18.9693,179.0237,0.00,VEHICLE,0,0,
-1801.1462,-256.5237,19.2127,179.0235,0.00,VEHICLE,0,0,
-1801.1919,-259.2089,19.4774,179.0230,0.00,VEHICLE,0,0,
-1801.2350,-261.7405,19.7259,179.0225,0.00,VEHICLE,0,0,
-1801.2781,-264.2646,19.9735,179.0221,0.00,VEHICLE,0,0,
-1801.3201,-266.6972,20.2784,179.0164,0.00,VEHICLE,0,0,
-1801.3689,-269.5064,20.7037,179.0078,0.00,VEHICLE,0,0,
-1801.4207,-272.4644,21.2387,179.0076,0.00,VEHICLE,0,0,
-1801.4697,-275.2690,21.7388,179.0076,0.00,VEHICLE,0,0,
-1801.5194,-278.1200,22.2390,179.0070,0.00,VEHICLE,0,0,
-1801.5695,-281.0000,22.7417,179.0060,0.00,VEHICLE,0,0,
-1801.6180,-283.8045,23.2307,179.0051,0.00,VEHICLE,0,0,
-1801.6658,-286.5590,23.6553,179.0074,0.00,VEHICLE,0,0,
-1801.6930,-288.6260,23.8844,179.1476,0.00,VEHICLE,0,0,
-1801.6710,-291.1183,24.0707,180.1640,0.00,VEHICLE,0,0,
-1801.5586,-293.9237,24.2429,182.0141,0.00,VEHICLE,0,0,
-1801.4347,-296.5773,24.4279,182.5466,0.00,VEHICLE,0,0,
-1801.3065,-299.1965,24.6190,182.6505,0.00,VEHICLE,0,0,
-1801.1952,-301.4683,24.7871,182.6678,0.00,VEHICLE,0,0,
-1801.0841,-303.7740,24.9591,182.6732,0.00,VEHICLE,0,0,
-1800.9750,-306.0895,25.1057,182.6759,0.00,VEHICLE,0,0,
-1800.8551,-308.7191,25.1099,182.6647,0.00,VEHICLE,0,0,
-1800.7947,-310.9615,25.0312,182.1091,0.00,VEHICLE,0,0,
-1800.8527,-313.5884,24.8483,179.7039,0.00,VEHICLE,0,0,
-1801.0415,-316.0013,24.7179,176.3672,0.00,VEHICLE,0,0,
-1801.2417,-318.2520,24.6077,175.1695,0.00,VEHICLE,0,0,
-1801.4896,-320.8908,24.4811,174.8582,0.00,VEHICLE,0,0,
-1801.8331,-323.4993,24.3565,173.1328,0.00,VEHICLE,0,0,
-1802.4474,-326.0783,24.2154,167.7458,0.00,VEHICLE,0,0,
-1803.1886,-328.2022,23.9973,162.3118,0.00,VEHICLE,0,0,
-1804.0533,-330.0839,23.7657,157.0416,0.00,VEHICLE,0,0,
