[duongdi_1]
-1589.6666259766,73.165962219238,3.5540409088135,8.0
-1594.5181884766,70.089904785156,3.5522832870483,8.0
-1598.763671875,67.244636535645,3.5561854839325,8.0
-1602.7900390625,64.025444030762,3.5478367805481,8.0
-1607.3195800781,60.419052124023,3.5465142726898,8.0
-1612.2916259766,56.498439788818,3.548574924469,8.0
-1617.5240478516,52.358276367188,3.5468978881836,8.0
-1621.4495849609,49.057628631592,3.5454659461975,8.0
-1625.6267089844,45.516860961914,3.54816198349,8.0
-1629.8065185547,41.85506439209,3.5486724376678,8.0
-1633.6760253906,38.346813201904,3.5476698875427,8.0
-1637.8664550781,34.54080581665,3.5486373901367,8.0
-1641.7905273438,30.980972290039,3.5467233657837,8.0
-1645.6379394531,27.492845535278,3.5449073314667,8.0
-1649.6196289063,23.88222694397,3.5452871322632,8.0
-1653.3536376953,20.495107650757,3.546852350235,8.0
-1657.4686279297,16.762357711792,3.5457170009613,8.0
-1661.5687255859,13.068076133728,3.5447859764099,8.0
-1665.3631591797,9.6621246337891,3.5447473526001,8.0
-1669.5659179688,5.919641494751,3.5469300746918,8.0
-1673.4459228516,2.4793040752411,3.5475590229034,8.0
-1677.5593261719,-1.0741806030273,3.5453727245331,8.0
-1682.4764404297,-4.6147193908691,3.54678606987,8.0
-1687.0792236328,-7.8284816741943,3.5497486591339,8.0
-1691.6767578125,-11.058961868286,3.5463290214539,8.0
-1696.0432128906,-14.145125389099,3.5448780059814,8.0
-1700.8680419922,-17.482177734375,3.5451021194458,8.0
-1705.2243652344,-20.418865203857,3.5471646785736,8.0
-1709.6606445313,-23.39898109436,3.5449395179749,8.0
-1714.6721191406,-26.612211227417,3.5450637340546,8.0
-1720.8657226563,-30.520751953125,3.5472145080566,8.0
-1725.5184326172,-33.453952789307,3.5643577575684,8.0
-1730.2548828125,-37.060054779053,3.5521471500397,8.0
-1734.9698486328,-41.425674438477,3.5467991828918,8.0
-1739.03125,-45.277103424072,3.5465626716614,8.0
-1742.70703125,-49.111530303955,3.5446979999542,8.0
