route,duong2.csv,-1573.3514,81.9447,3.5363,163.0862,0.00,VEHICLE,0,0,
-1573.3514,81.9447,3.5363,163.0862,0.00,VEHICLE,0,0,
-1574.5166,80.3166,3.5487,151.2351,0.00,VEHICLE,0,0,
-1576.0956,79.0608,3.5483,136.8433,0.00,VEHICLE,0,0,
-1578.1506,77.7060,3.5482,127.5965,0.00,VEHICLE,0,0,
-1579.9381,76.3782,3.5469,127.1882,0.00,VEHICLE,0,0,
-1581.9506,74.9395,3.5470,125.7455,0.00,VEHICLE,0,0,
-1583.5892,73.7696,3.5486,125.3938,0.00,VEHICLE,0,0,
-1585.5105,72.4068,3.5488,125.3575,0.00,VEHICLE,0,0,
-1587.5140,70.9912,3.5488,125.3580,0.00,VEHICLE,0,0,
-1589.7975,69.3761,3.5487,125.3578,0.00,VEHICLE,0,0,
-1592.0787,67.7579,3.5483,125.3556,0.00,VEHICLE,0,0,
-1593.7202,66.5917,3.5477,125.3542,0.00,VEHICLE,0,0,
-1596.0085,64.9657,3.5461,125.3530,0.00,VEHICLE,0,0,
-1597.7389,63.7373,3.5465,125.3532,0.00,VEHICLE,0,0,
-1599.4181,62.5459,3.5478,125.3542,0.00,VEHICLE,0,0,
-1601.3085,61.2032,3.5541,125.3512,0.00,VEHICLE,0,0,
-1602.9863,60.0081,3.5545,125.3491,0.00,VEHICLE,0,0,
-1604.6942,58.7917,3.5566,125.3466,0.00,VEHICLE,0,0,
-1606.4249,57.5620,3.5491,125.3479,0.00,VEHICLE,0,0,
-1608.2507,56.2722,3.5444,125.3544,0.00,VEHICLE,0,0,
-1609.9783,55.0600,3.5528,125.3708,0.00,VEHICLE,0,0,
-1612.4694,53.3050,3.5547,125.3690,0.00,VEHICLE,0,0,
-1614.1813,52.0944,3.5532,125.3613,0.00,VEHICLE,0,0,
-1615.9509,50.7123,3.5480,127.0183,0.00,VEHICLE,0,0,
-1617.7872,49.2258,3.5470,128.6311,0.00,VEHICLE,0,0,
-1619.5267,47.8030,3.5467,129.0105,0.00,VEHICLE,0,0,
-1621.3293,46.3271,3.5477,129.0829,0.00,VEHICLE,0,0,
-1623.0840,44.8945,3.5482,129.0983,0.00,VEHICLE,0,0,
-1625.0565,43.2837,3.5478,129.1678,0.00,VEHICLE,0,0,
